Station,Latitude,Longitude
KDUG,31.47,-109.6
B,25.9,-93.6
B42,32.02,-107.87
KSWF,41.5,-74.1
CYBU,53.33,-104.00
SHNW,46.28,-122.28
LBT,34.61,-79.06
KGUC,38.53,-106.93
DDOR,45.29,-86.98
KECS,43.89,-104.32
KEPZ,31.87,-106.7
KLRD,27.55,-99.47
KDUJ,41.18,-78.9
KEMM,41.82,-110.56
CAI,37.3,-88.9
LUS,42.76,-104.45
KTOP,39.07,-95.62
KEAT,47.4,-120.2
KMPH,38.35,-97.69
KICR,43.39,-99.84
LWA,42.41,-86.28
KCRP,27.77,-97.5
B45,26.57,-98.82
KBFL,35.43,-119.05
MMMA,25.77,-97.53
KSTJ,39.77,-94.92
WJA,52.88,-118.07
KROA,37.32,-79.97
FPKG,32.03,-80.89
KTCL,33.22,-87.62
KIOW,41.64,-91.54
OPA5,36.3,-74.6
KGLS,29.3,-94.8
MHW,45.35,-121.94
B,25.9,-85.9
KLFK,31.23,-94.75
LE1,41.68,-82.4
KTYR,32.34,-95.4
KUKI,39.13,-123.2
KDIK,46.8,-102.8
KAIB,38.23,-108.56
SMN,45.12,-113.88
U24,39.33,-112.58
KMEI,32.33,-88.75
KDEN,39.87,-104.67
G,24.5,-94.4
CYVV,44.75,-81.1
ATL3,32.8,-77.2
KPIB,31.47,-89.33
PTT,37.7,-98.75
FSN,42.11,-109.45
KCAG,40.5,-107.52
MOR,36.17,-83.4
KOTX,47.7,-117.6
KTVC,44.73,-85.58
LM1,45.33,-86.42
KBWI,39.18,-76.67
KDIJ,43.74,-111.1
CNN,38.37,-93.79
W,37.48,-96.93
PRX,33.63,-95.45
KHLN,46.6,-112.00
K2G4,39.58,-79.34
KAST,46.15,-123.88
KHRL,26.23,-97.65
LO2,43.4,-79.45
SNY,41.1,-102.98
KHYA,41.67,-70.28
KEAU,44.87,-91.48
KUIN,39.95,-91.2
KABI,32.41,-99.68
MUMZ,20.33,-77.12
KK68,38.28,-95.22
C14,41.00,-107.00
MYL,44.88,-116.1
TNF,39.13,-120.8
LOR,31.46,-85.46
KEWR,40.7,-74.17
KPNA,42.8,-109.81
KPNC,36.73,-97.1
KIML,40.51,-101.62
END,36.34,-97.92
KOZW,42.63,-83.98
KEUG,44.12,-123.22
KORD,41.98,-87.9
KDMO,38.71,-93.18
KSUX,42.4,-96.38
ONTM,46.88,-89.32
CYVR,49.18,-123.17
KDLH,46.83,-92.18
KDRM,46.01,-83.74
KMAF,31.95,-102.18
KMHV,35.07,-118.15
CHE,43.5,-95.6
KBFI,47.53,-122.3
KPHD,40.47,-81.42
WAL,37.93,-75.48
KSGF,37.23,-93.38
GVL,45.95,-116.13
MTY,25.87,-100.2
KMYZ,39.86,-96.63
B,40.5,-69.4
KCKB,39.3,-80.23
KBIE,40.3,-96.75
KRCZ,34.89,-79.76
LDL,39.1,-106.2
KMKL,35.59,-88.92
JFC,42.49,-107.83
JAYV,44.94,-72.51
KHRO,36.27,-93.15
P,37.77,-102.18
DOV,38.83,-75.43
KMHK,39.13,-96.67
BYG,44.38,-106.72
B,32.8,-79.62
KMHE,43.77,-98.03
MAW,46.19,-121.7
CND,36.95,-85.26
CYQI,43.87,-66.1
MAX,32.54,-85.79
KIPL,32.83,-115.58
KBML,44.58,-71.18
KEGT,37.32,-97.39
KPOB,35.17,-79.02
KPHX,33.43,-112.02
KART,44.00,-76.01
KPUW,46.75,-117.12
KHFJ,36.91,-94.02
WNTR,48.49,-120.24
KBEH,42.14,-86.44
BIV,42.75,-86.1
CYLH,52.23,-87.88
KTAZ,39.53,-89.33
P,31.78,-95.71
KIEN,43.02,-102.52
KXSA,37.86,-76.89
MUVT,20.95,-76.94
G003,44.5,-122.7
8V7,37.28,-102.61
KBBW,41.44,-99.64
KFRM,43.65,-94.42
HSI,40.32,-98.44
KMIA,25.82,-80.28
BDT,43.2,-110.4
SEF,37.7,-123.00
KRNP,42.99,-84.14
KSTL,38.75,-90.37
CYUL,45.47,-73.75
KPNS,30.47,-87.18
KMIV,39.37,-75.07
MMLP,24.07,-110.37
KMNM,45.12,-87.63
OPA7,34.9,-70.8
BH5,43.53,-103.65
KAZO,42.23,-85.55
KPHG,39.73,-99.32
KCYS,41.15,-104.82
FNB,40.08,-95.6
COAT,39.98,-75.82
K9D1,43.22,-99.4
KJHW,42.15,-79.26
SANQ,37.94,-122.5
ATH,42.3,-102.4
KICT,37.65,-97.43
CWLW,49.95,-119.4
CYLJ,54.13,-108.52
LH2,44.28,-82.42
P,36.88,-89.97
FDR,34.36,-98.98
EAX,38.81,-94.26
SMP,47.28,-121.33
KLS,46.12,-122.94
WHI,42.04,-77.76
KPTK,42.67,-83.42
MUBY,20.4,-76.62
OPA2,39.3,-72.00
ATL5,39.55,-73.9
KFAM,37.77,-90.43
JCT,30.5,-99.77
KSBA,34.43,-119.83
FHU,31.57,-110.33
P,40.81,-87.05
KLNL,46.15,-89.21
KOXR,34.21,-119.2
K2V5,40.1,-102.24
KASW,41.28,-85.84
KC07,40.35,-106.7
KSTK,40.61,-103.26
P,35.68,-95.86
P,40.09,-100.65
KGRB,44.48,-88.13
KJST,40.32,-78.83
KFOD,42.55,-94.2
MBY,39.42,-92.44
CYSJ,45.32,-65.88
FTSR,34.38,-104.23
KVIH,38.13,-91.77
KFSK,37.8,-94.77
KAAT,41.5,-120.53
SNWS,38.4,-80.00
KCNK,39.55,-97.65
KMGM,32.3,-86.4
KLWM,42.72,-71.12
TBL,40.13,-105.24
KHVN,41.27,-72.87
C19,49.00,-114.00
CBE,39.62,-78.76
LUT,47.66,-90.91
KPAH,37.07,-88.77
C33,35.3,-98.9
KRBL,40.15,-122.25
MMGM,27.97,-110.93
G,23.00,-85.00
KASY,46.02,-99.35
KBAF,42.15,-72.72
KMKT,44.22,-93.91
KACK,41.25,-70.07
KFTY,33.78,-84.52
KCGE,38.54,-76.03
B,34.9,-73.00
C35,34.98,-94.69
BHK,46.37,-104.28
KBTM,45.95,-112.5
KLZK,34.83,-92.25
STV,33.45,-88.82
IPX,44.42,-111.37
KDPA,41.92,-88.25
KCOU,38.82,-92.22
KBNV,40.2,-113.3
BON,48.69,-116.32
KRSL,38.87,-98.82
PPB,35.66,-121.28
KTVL,38.9,-120.00
KTPA,27.97,-82.53
KGFL,43.33,-73.62
KCNB,44.73,-96.27
KC75,41.02,-89.39
KLVK,37.7,-121.82
C04,34.6,-94.3
KAIZ,38.1,-92.55
KMSN,43.13,-89.33
CWLO,49.78,-99.65
RUE,35.25,-93.09
MMML,32.63,-115.24
COA,36.14,-120.35
V,42.86,-100.41
KFTW,32.82,-97.37
KPDK,33.88,-84.3
MAR,42.11,-92.92
KLAN,42.77,-84.6
FRO,43.33,-120.84
CWZC,51.27,-80.65
KPEQ,31.38,-103.51
DTX,42.7,-83.47
C27,38.00,-80.00
KGLO,33.4,-110.77
KLFT,30.2,-91.98
KELY,39.28,-114.85
KHVR,48.55,-109.77
KBFM,30.63,-88.07
BNA,36.25,-86.57
AKO,40.17,-103.22
FRS,38.51,-123.22
KCNU,37.66,-95.48
FZP,34.83,-118.95
KHQM,46.97,-123.93
KBHB,44.45,-68.37
G,23.3,-91.6
MMZC,22.9,-102.68
KRST,43.92,-92.5
KTEB,40.84,-74.07
KYC,43.71,-106.63
KMFE,26.18,-98.23
JHN,35.97,-118.54
SVL,42.5,-78.68
KCHO,38.13,-78.44
DFDS,43.99,-103.79
KFWA,41.00,-85.2
KRIC,37.5,-77.33
CVD,38.78,-122.99
KRDM,44.25,-121.15
KTWF,42.48,-114.48
KELP,31.8,-106.4
KORE,42.57,-72.27
KEZF,38.27,-77.45
P,43.22,-90.53
KHTL,44.36,-84.67
KBWG,36.97,-86.42
KEKQ,36.86,-84.86
KFAR,46.9,-96.8
CYTS,48.57,-81.37
82MN,44.46,-92.29
KSHA,32.99,-106.97
KNSI,33.25,-119.45
KP59,47.45,-87.9
KLJF,45.1,-94.51
KSLN,38.8,-97.65
RUTG,40.5,-74.45
KEKN,38.88,-79.85
ANJ,46.47,-84.37
KFLD,43.77,-88.49
KSNS,36.66,-121.6
KSBN,41.7,-86.32
KPOF,36.77,-90.32
LH1,45.35,-82.84
KRCX,45.5,-91.00
KEAR,40.73,-99.00
KBTL,42.3,-85.25
KPHN,42.92,-82.53
CYPA,53.22,-105.68
KPVD,41.73,-71.43
KBVX,35.73,-91.65
KVLD,30.78,-83.28
COL3,45.68,-120.82
CYXS,53.88,-122.68
CYAH,53.75,-73.67
CYQR,50.43,-104.67
KOQU,41.6,-71.42
CVS,34.64,-103.63
OPPC,29.6,-117.00
KFDY,41.02,-83.67
KLXL,45.95,-94.35
KHOU,29.65,-95.28
KLWT,47.05,-109.47
2IS,26.75,-80.94
KMIS,29.3,-88.84
KMDN,38.83,-85.42
LO1,43.62,-77.41
KD50,48.93,-103.3
CYTH,55.75,-97.87
KBLH,33.62,-114.72
KDKB,41.93,-88.71
P68,39.5,-115.95
KITH,42.48,-76.44
PUC,39.62,-110.75
KONL,42.47,-98.69
KHNB,38.25,-86.95
KWKB,33.97,-112.74
PEV,45.46,-96.99
MUCA,21.78,-78.78
CBN,33.9,-88.33
KBRN,39.42,-93.13
WLCX,32.15,-109.84
C22,47.5,-99.00
KSTS,38.52,-122.82
KRWI,35.84,-77.9
ADM,34.3,-97.02
KISO,35.33,-77.6
KCOE,47.77,-116.82
KGBG,40.94,-90.43
SWY,47.08,-122.36
KAUW,44.93,-89.63
C12,33.7,-97.4
MZT,23.2,-106.42
KHDN,40.48,-107.22
KEED,34.77,-114.62
KTRI,36.48,-82.4
G,36.5,-100.8
KTRM,33.63,-116.17
KTTF,41.94,-83.43
FPS7,33.49,-77.59
G,23.5,-98.00
KTUP,34.27,-88.77
VAD,30.89,-83.01
HMM,46.25,-114.15
P,41.9,-93.7
KBJC,39.91,-105.12
MRS,45.5,-95.9
KHJH,40.15,-97.58
S,27.9,-96.64
K61,39.47,-98.13
KC1,38.76,-102.79
PIH,43.11,-112.68
KSAN,32.73,-117.17
K82,39.76,-98.79
BRHR,41.69,-87.15
OPPB,30.9,-121.5
K9V9,43.8,-99.32
CYXC,49.62,-115.78
KHDE,40.45,-99.33
KRNT,47.5,-122.22
MPI,37.51,-120.04
ROU,41.43,-121.46
KWMC,40.9,-117.8
KACT,31.62,-97.22
KALO,42.55,-92.4
P,36.84,-107.91
KULM,44.32,-94.5
MRF,30.37,-104.02
KPVU,40.22,-111.72
KPNT,40.92,-88.62
ATLH,40.42,-73.98
KHLC,39.38,-99.83
WOO,38.88,-78.52
EMF,34.63,-117.61
KGSO,36.08,-79.94
NGX,31.4,-114.49
MYNN,25.05,-77.47
KLWB,37.87,-80.4
CZC,38.61,-123.21
HLD,39.00,-123.12
ZION,37.2,-112.99
KGCK,37.93,-100.72
KOTH,43.42,-124.25
KHLG,40.18,-80.65
KLWS,46.38,-117.02
KEHA,37.01,-101.88
CYXE,52.17,-106.68
VSF,43.35,-72.52
KABY,31.53,-84.18
ILN,39.42,-83.83
KAHQ,41.24,-96.59
B,39.2,-124.00
FSI,34.6,-98.4
KP38,37.62,-114.52
LBY,48.39,-115.55
LHX,38.05,-103.52
S,27.9,-91.00
KGMU,34.84,-82.35
MYBS,25.73,-79.3
SOW,34.27,-110.00
KMBG,45.55,-100.41
KVNY,34.22,-118.48
AJO,32.37,-112.87
CYYG,46.28,-63.13
KHPN,41.07,-73.69
DPG,40.17,-112.93
KRPJ,41.89,-89.08
KFMN,36.75,-108.23
BH3,44.46,-103.85
YOB,40.34,-123.07
EON,42.46,-75.06
KBKX,44.31,-96.82
KMLT,45.65,-68.68
DEN,39.75,-104.87
MCH,35.48,-86.09
KGGG,32.34,-94.65
KSDF,38.18,-85.73
CCL,37.11,-120.24
KLEB,43.63,-72.3
KHTH,38.55,-118.63
KLYH,37.33,-79.19
KDRA,36.62,-116.02
ATL1,37.2,-74.8
KLAX,33.93,-118.4
LSF,32.33,-84.83
G,30.3,-101.7
KLNS,40.12,-76.29
KBOS,42.37,-71.03
MYGW,26.7,-78.97
LS3,47.32,-89.87
REP,48.65,-118.73
RCK,42.55,-119.66
KLOL,40.07,-118.57
KBMG,39.15,-86.62
KYNG,41.27,-80.67
B47,29.81,-91.66
